phrase,meaning,example
ghost someone #32,연락을 끊고 잠수 타다,He totally ghosted me after our second date.
high-key #33,"대놓고, 확실하게",I'm high-key excited for the trip.
ghost someone #34,연락을 끊고 잠수 타다,He totally ghosted me after our second date.
hit different #35,이전과 다르게 느껴지다,This song just hits different at night.
cap #36,거짓말,He said he met Beyoncé. That’s cap.
throw shade #37,"빈정거리다, 몰래 디스하다",She was throwing shade at her coworker all day.
flex #38,과시하다,He likes to flex his new watch.
cap #39,거짓말,He said he met Beyoncé. That’s cap.
flex #40,과시하다,He likes to flex his new watch.
no cap #41,"진짜로, 거짓 없이","That movie was amazing, no cap."
ghost someone #42,연락을 끊고 잠수 타다,He totally ghosted me after our second date.
cap #43,거짓말,He said he met Beyoncé. That’s cap.
ghost someone #44,연락을 끊고 잠수 타다,He totally ghosted me after our second date.
spill the tea #45,소문을 퍼뜨리다,She spilled the tea about her ex-boyfriend.
low-key #46,"비밀스럽게, 조용히",I low-key love watching cheesy dramas.
flex #47,과시하다,He likes to flex his new watch.
no cap #48,"진짜로, 거짓 없이","That movie was amazing, no cap."
cap #49,거짓말,He said he met Beyoncé. That’s cap.
hit different #50,이전과 다르게 느껴지다,This song just hits different at night.
low-key #51,"비밀스럽게, 조용히",I low-key love watching cheesy dramas.
ghost someone #52,연락을 끊고 잠수 타다,He totally ghosted me after our second date.
throw shade #53,"빈정거리다, 몰래 디스하다",She was throwing shade at her coworker all day.
on fleek #54,"아주 멋진, 완벽한",Her makeup is on fleek today.
ghost someone #55,연락을 끊고 잠수 타다,He totally ghosted me after our second date.
cap #56,거짓말,He said he met Beyoncé. That’s cap.
hit different #57,이전과 다르게 느껴지다,This song just hits different at night.
no cap #58,"진짜로, 거짓 없이","That movie was amazing, no cap."
low-key #59,"비밀스럽게, 조용히",I low-key love watching cheesy dramas.
flex #60,과시하다,He likes to flex his new watch.
ghost someone #61,연락을 끊고 잠수 타다,He totally ghosted me after our second date.
on fleek #62,"아주 멋진, 완벽한",Her makeup is on fleek today.
ghost someone #63,연락을 끊고 잠수 타다,He totally ghosted me after our second date.
hit different #64,이전과 다르게 느껴지다,This song just hits different at night.
low-key #65,"비밀스럽게, 조용히",I low-key love watching cheesy dramas.
high-key #66,"대놓고, 확실하게",I'm high-key excited for the trip.
throw shade #67,"빈정거리다, 몰래 디스하다",She was throwing shade at her coworker all day.
on fleek #68,"아주 멋진, 완벽한",Her makeup is on fleek today.
hit different #69,이전과 다르게 느껴지다,This song just hits different at night.
flex #70,과시하다,He likes to flex his new watch.
throw shade #71,"빈정거리다, 몰래 디스하다",She was throwing shade at her coworker all day.
cap #72,거짓말,He said he met Beyoncé. That’s cap.
ghost someone #73,연락을 끊고 잠수 타다,He totally ghosted me after our second date.
cap #74,거짓말,He said he met Beyoncé. That’s cap.
flex #75,과시하다,He likes to flex his new watch.
cap #76,거짓말,He said he met Beyoncé. That’s cap.
high-key #77,"대놓고, 확실하게",I'm high-key excited for the trip.
ghost someone #78,연락을 끊고 잠수 타다,He totally ghosted me after our second date.
ghost someone #79,연락을 끊고 잠수 타다,He totally ghosted me after our second date.
cap #80,거짓말,He said he met Beyoncé. That’s cap.
ghost someone #81,연락을 끊고 잠수 타다,He totally ghosted me after our second date.
hit different #82,이전과 다르게 느껴지다,This song just hits different at night.
flex #83,과시하다,He likes to flex his new watch.
high-key #84,"대놓고, 확실하게",I'm high-key excited for the trip.
throw shade #85,"빈정거리다, 몰래 디스하다",She was throwing shade at her coworker all day.
spill the tea #86,소문을 퍼뜨리다,She spilled the tea about her ex-boyfriend.
on fleek #87,"아주 멋진, 완벽한",Her makeup is on fleek today.
flex #88,과시하다,He likes to flex his new watch.
high-key #89,"대놓고, 확실하게",I'm high-key excited for the trip.
spill the tea #90,소문을 퍼뜨리다,She spilled the tea about her ex-boyfriend.
high-key #91,"대놓고, 확실하게",I'm high-key excited for the trip.
high-key #92,"대놓고, 확실하게",I'm high-key excited for the trip.
hit different #93,이전과 다르게 느껴지다,This song just hits different at night.
low-key #94,"비밀스럽게, 조용히",I low-key love watching cheesy dramas.
hit different #95,이전과 다르게 느껴지다,This song just hits different at night.
low-key #96,"비밀스럽게, 조용히",I low-key love watching cheesy dramas.
no cap #97,"진짜로, 거짓 없이","That movie was amazing, no cap."
flex #98,과시하다,He likes to flex his new watch.
spill the tea #99,소문을 퍼뜨리다,She spilled the tea about her ex-boyfriend.
ghost someone #100,연락을 끊고 잠수 타다,He totally ghosted me after our second date.
on fleek #101,"아주 멋진, 완벽한",Her makeup is on fleek today.
no cap #102,"진짜로, 거짓 없이","That movie was amazing, no cap."
no cap #103,"진짜로, 거짓 없이","That movie was amazing, no cap."
flex #104,과시하다,He likes to flex his new watch.
high-key #105,"대놓고, 확실하게",I'm high-key excited for the trip.
ghost someone #106,연락을 끊고 잠수 타다,He totally ghosted me after our second date.
no cap #107,"진짜로, 거짓 없이","That movie was amazing, no cap."
hit different #108,이전과 다르게 느껴지다,This song just hits different at night.
spill the tea #109,소문을 퍼뜨리다,She spilled the tea about her ex-boyfriend.
hit different #110,이전과 다르게 느껴지다,This song just hits different at night.
on fleek #111,"아주 멋진, 완벽한",Her makeup is on fleek today.
flex #112,과시하다,He likes to flex his new watch.
spill the tea #113,소문을 퍼뜨리다,She spilled the tea about her ex-boyfriend.
low-key #114,"비밀스럽게, 조용히",I low-key love watching cheesy dramas.
cap #115,거짓말,He said he met Beyoncé. That’s cap.
throw shade #116,"빈정거리다, 몰래 디스하다",She was throwing shade at her coworker all day.
no cap #117,"진짜로, 거짓 없이","That movie was amazing, no cap."
ghost someone #118,연락을 끊고 잠수 타다,He totally ghosted me after our second date.
low-key #119,"비밀스럽게, 조용히",I low-key love watching cheesy dramas.
throw shade #120,"빈정거리다, 몰래 디스하다",She was throwing shade at her coworker all day.
hit different #121,이전과 다르게 느껴지다,This song just hits different at night.
throw shade #122,"빈정거리다, 몰래 디스하다",She was throwing shade at her coworker all day.
low-key #123,"비밀스럽게, 조용히",I low-key love watching cheesy dramas.
throw shade #124,"빈정거리다, 몰래 디스하다",She was throwing shade at her coworker all day.
low-key #125,"비밀스럽게, 조용히",I low-key love watching cheesy dramas.
throw shade #126,"빈정거리다, 몰래 디스하다",She was throwing shade at her coworker all day.
flex #127,과시하다,He likes to flex his new watch.
on fleek #128,"아주 멋진, 완벽한",Her makeup is on fleek today.
high-key #129,"대놓고, 확실하게",I'm high-key excited for the trip.
on fleek #130,"아주 멋진, 완벽한",Her makeup is on fleek today.
throw shade #131,"빈정거리다, 몰래 디스하다",She was throwing shade at her coworker all day.
flex #132,과시하다,He likes to flex his new watch.
on fleek #133,"아주 멋진, 완벽한",Her makeup is on fleek today.
throw shade #134,"빈정거리다, 몰래 디스하다",She was throwing shade at her coworker all day.
ghost someone #135,연락을 끊고 잠수 타다,He totally ghosted me after our second date.
on fleek #136,"아주 멋진, 완벽한",Her makeup is on fleek today.
high-key #137,"대놓고, 확실하게",I'm high-key excited for the trip.
high-key #138,"대놓고, 확실하게",I'm high-key excited for the trip.
low-key #139,"비밀스럽게, 조용히",I low-key love watching cheesy dramas.
cap #140,거짓말,He said he met Beyoncé. That’s cap.
throw shade #141,"빈정거리다, 몰래 디스하다",She was throwing shade at her coworker all day.
ghost someone #142,연락을 끊고 잠수 타다,He totally ghosted me after our second date.
hit different #143,이전과 다르게 느껴지다,This song just hits different at night.
on fleek #144,"아주 멋진, 완벽한",Her makeup is on fleek today.
hit different #145,이전과 다르게 느껴지다,This song just hits different at night.
hit different #146,이전과 다르게 느껴지다,This song just hits different at night.
cap #147,거짓말,He said he met Beyoncé. That’s cap.
no cap #148,"진짜로, 거짓 없이","That movie was amazing, no cap."
low-key #149,"비밀스럽게, 조용히",I low-key love watching cheesy dramas.
cap #150,거짓말,He said he met Beyoncé. That’s cap.
low-key #151,"비밀스럽게, 조용히",I low-key love watching cheesy dramas.
flex #152,과시하다,He likes to flex his new watch.
low-key #153,"비밀스럽게, 조용히",I low-key love watching cheesy dramas.
hit different #154,이전과 다르게 느껴지다,This song just hits different at night.
hit different #155,이전과 다르게 느껴지다,This song just hits different at night.
high-key #156,"대놓고, 확실하게",I'm high-key excited for the trip.
flex #157,과시하다,He likes to flex his new watch.
throw shade #158,"빈정거리다, 몰래 디스하다",She was throwing shade at her coworker all day.
on fleek #159,"아주 멋진, 완벽한",Her makeup is on fleek today.
throw shade #160,"빈정거리다, 몰래 디스하다",She was throwing shade at her coworker all day.
high-key #161,"대놓고, 확실하게",I'm high-key excited for the trip.
high-key #162,"대놓고, 확실하게",I'm high-key excited for the trip.
spill the tea #163,소문을 퍼뜨리다,She spilled the tea about her ex-boyfriend.
hit different #164,이전과 다르게 느껴지다,This song just hits different at night.
cap #165,거짓말,He said he met Beyoncé. That’s cap.
ghost someone #166,연락을 끊고 잠수 타다,He totally ghosted me after our second date.
cap #167,거짓말,He said he met Beyoncé. That’s cap.
throw shade #168,"빈정거리다, 몰래 디스하다",She was throwing shade at her coworker all day.
no cap #169,"진짜로, 거짓 없이","That movie was amazing, no cap."
spill the tea #170,소문을 퍼뜨리다,She spilled the tea about her ex-boyfriend.
high-key #171,"대놓고, 확실하게",I'm high-key excited for the trip.
flex #172,과시하다,He likes to flex his new watch.
ghost someone #173,연락을 끊고 잠수 타다,He totally ghosted me after our second date.
high-key #174,"대놓고, 확실하게",I'm high-key excited for the trip.
flex #175,과시하다,He likes to flex his new watch.
spill the tea #176,소문을 퍼뜨리다,She spilled the tea about her ex-boyfriend.
on fleek #177,"아주 멋진, 완벽한",Her makeup is on fleek today.
hit different #178,이전과 다르게 느껴지다,This song just hits different at night.
no cap #179,"진짜로, 거짓 없이","That movie was amazing, no cap."
low-key #180,"비밀스럽게, 조용히",I low-key love watching cheesy dramas.
no cap #181,"진짜로, 거짓 없이","That movie was amazing, no cap."
spill the tea #182,소문을 퍼뜨리다,She spilled the tea about her ex-boyfriend.
flex #183,과시하다,He likes to flex his new watch.
high-key #184,"대놓고, 확실하게",I'm high-key excited for the trip.
on fleek #185,"아주 멋진, 완벽한",Her makeup is on fleek today.
ghost someone #186,연락을 끊고 잠수 타다,He totally ghosted me after our second date.
spill the tea #187,소문을 퍼뜨리다,She spilled the tea about her ex-boyfriend.
no cap #188,"진짜로, 거짓 없이","That movie was amazing, no cap."
high-key #189,"대놓고, 확실하게",I'm high-key excited for the trip.
high-key #190,"대놓고, 확실하게",I'm high-key excited for the trip.
low-key #191,"비밀스럽게, 조용히",I low-key love watching cheesy dramas.
on fleek #192,"아주 멋진, 완벽한",Her makeup is on fleek today.
high-key #193,"대놓고, 확실하게",I'm high-key excited for the trip.
throw shade #194,"빈정거리다, 몰래 디스하다",She was throwing shade at her coworker all day.
spill the tea #195,소문을 퍼뜨리다,She spilled the tea about her ex-boyfriend.
low-key #196,"비밀스럽게, 조용히",I low-key love watching cheesy dramas.
hit different #197,이전과 다르게 느껴지다,This song just hits different at night.
throw shade #198,"빈정거리다, 몰래 디스하다",She was throwing shade at her coworker all day.
no cap #199,"진짜로, 거짓 없이","That movie was amazing, no cap."
throw shade #200,"빈정거리다, 몰래 디스하다",She was throwing shade at her coworker all day.
hit different #201,이전과 다르게 느껴지다,This song just hits different at night.
low-key #202,"비밀스럽게, 조용히",I low-key love watching cheesy dramas.
ghost someone #203,연락을 끊고 잠수 타다,He totally ghosted me after our second date.
ghost someone #204,연락을 끊고 잠수 타다,He totally ghosted me after our second date.
throw shade #205,"빈정거리다, 몰래 디스하다",She was throwing shade at her coworker all day.
no cap #206,"진짜로, 거짓 없이","That movie was amazing, no cap."
high-key #207,"대놓고, 확실하게",I'm high-key excited for the trip.
no cap #208,"진짜로, 거짓 없이","That movie was amazing, no cap."
no cap #209,"진짜로, 거짓 없이","That movie was amazing, no cap."
high-key #210,"대놓고, 확실하게",I'm high-key excited for the trip.
high-key #211,"대놓고, 확실하게",I'm high-key excited for the trip.
cap #212,거짓말,He said he met Beyoncé. That’s cap.
spill the tea #213,소문을 퍼뜨리다,She spilled the tea about her ex-boyfriend.
ghost someone #214,연락을 끊고 잠수 타다,He totally ghosted me after our second date.
ghost someone #215,연락을 끊고 잠수 타다,He totally ghosted me after our second date.
flex #216,과시하다,He likes to flex his new watch.
no cap #217,"진짜로, 거짓 없이","That movie was amazing, no cap."
flex #218,과시하다,He likes to flex his new watch.
high-key #219,"대놓고, 확실하게",I'm high-key excited for the trip.
hit different #220,이전과 다르게 느껴지다,This song just hits different at night.
cap #221,거짓말,He said he met Beyoncé. That’s cap.
flex #222,과시하다,He likes to flex his new watch.
high-key #223,"대놓고, 확실하게",I'm high-key excited for the trip.
cap #224,거짓말,He said he met Beyoncé. That’s cap.
hit different #225,이전과 다르게 느껴지다,This song just hits different at night.
high-key #226,"대놓고, 확실하게",I'm high-key excited for the trip.
spill the tea #227,소문을 퍼뜨리다,She spilled the tea about her ex-boyfriend.
hit different #228,이전과 다르게 느껴지다,This song just hits different at night.
cap #229,거짓말,He said he met Beyoncé. That’s cap.
high-key #230,"대놓고, 확실하게",I'm high-key excited for the trip.
on fleek #231,"아주 멋진, 완벽한",Her makeup is on fleek today.
on fleek #232,"아주 멋진, 완벽한",Her makeup is on fleek today.
cap #233,거짓말,He said he met Beyoncé. That’s cap.
no cap #234,"진짜로, 거짓 없이","That movie was amazing, no cap."
hit different #235,이전과 다르게 느껴지다,This song just hits different at night.
on fleek #236,"아주 멋진, 완벽한",Her makeup is on fleek today.
low-key #237,"비밀스럽게, 조용히",I low-key love watching cheesy dramas.
no cap #238,"진짜로, 거짓 없이","That movie was amazing, no cap."
on fleek #239,"아주 멋진, 완벽한",Her makeup is on fleek today.
spill the tea #240,소문을 퍼뜨리다,She spilled the tea about her ex-boyfriend.
low-key #241,"비밀스럽게, 조용히",I low-key love watching cheesy dramas.
high-key #242,"대놓고, 확실하게",I'm high-key excited for the trip.
hit different #243,이전과 다르게 느껴지다,This song just hits different at night.
no cap #244,"진짜로, 거짓 없이","That movie was amazing, no cap."
no cap #245,"진짜로, 거짓 없이","That movie was amazing, no cap."
cap #246,거짓말,He said he met Beyoncé. That’s cap.
spill the tea #247,소문을 퍼뜨리다,She spilled the tea about her ex-boyfriend.
spill the tea #248,소문을 퍼뜨리다,She spilled the tea about her ex-boyfriend.
on fleek #249,"아주 멋진, 완벽한",Her makeup is on fleek today.
on fleek #250,"아주 멋진, 완벽한",Her makeup is on fleek today.
hit different #251,이전과 다르게 느껴지다,This song just hits different at night.
ghost someone #252,연락을 끊고 잠수 타다,He totally ghosted me after our second date.
throw shade #253,"빈정거리다, 몰래 디스하다",She was throwing shade at her coworker all day.
high-key #254,"대놓고, 확실하게",I'm high-key excited for the trip.
hit different #255,이전과 다르게 느껴지다,This song just hits different at night.
cap #256,거짓말,He said he met Beyoncé. That’s cap.
flex #257,과시하다,He likes to flex his new watch.
spill the tea #258,소문을 퍼뜨리다,She spilled the tea about her ex-boyfriend.
flex #259,과시하다,He likes to flex his new watch.
high-key #260,"대놓고, 확실하게",I'm high-key excited for the trip.
low-key #261,"비밀스럽게, 조용히",I low-key love watching cheesy dramas.
hit different #262,이전과 다르게 느껴지다,This song just hits different at night.
ghost someone #263,연락을 끊고 잠수 타다,He totally ghosted me after our second date.
cap #264,거짓말,He said he met Beyoncé. That’s cap.
ghost someone #265,연락을 끊고 잠수 타다,He totally ghosted me after our second date.
high-key #266,"대놓고, 확실하게",I'm high-key excited for the trip.
high-key #267,"대놓고, 확실하게",I'm high-key excited for the trip.
cap #268,거짓말,He said he met Beyoncé. That’s cap.
flex #269,과시하다,He likes to flex his new watch.
on fleek #270,"아주 멋진, 완벽한",Her makeup is on fleek today.
spill the tea #271,소문을 퍼뜨리다,She spilled the tea about her ex-boyfriend.
high-key #272,"대놓고, 확실하게",I'm high-key excited for the trip.
low-key #273,"비밀스럽게, 조용히",I low-key love watching cheesy dramas.
high-key #274,"대놓고, 확실하게",I'm high-key excited for the trip.
no cap #275,"진짜로, 거짓 없이","That movie was amazing, no cap."
low-key #276,"비밀스럽게, 조용히",I low-key love watching cheesy dramas.
throw shade #277,"빈정거리다, 몰래 디스하다",She was throwing shade at her coworker all day.
no cap #278,"진짜로, 거짓 없이","That movie was amazing, no cap."
throw shade #279,"빈정거리다, 몰래 디스하다",She was throwing shade at her coworker all day.
no cap #280,"진짜로, 거짓 없이","That movie was amazing, no cap."
ghost someone #281,연락을 끊고 잠수 타다,He totally ghosted me after our second date.
throw shade #282,"빈정거리다, 몰래 디스하다",She was throwing shade at her coworker all day.
flex #283,과시하다,He likes to flex his new watch.
flex #284,과시하다,He likes to flex his new watch.
high-key #285,"대놓고, 확실하게",I'm high-key excited for the trip.
ghost someone #286,연락을 끊고 잠수 타다,He totally ghosted me after our second date.
flex #287,과시하다,He likes to flex his new watch.
no cap #288,"진짜로, 거짓 없이","That movie was amazing, no cap."
cap #289,거짓말,He said he met Beyoncé. That’s cap.
low-key #290,"비밀스럽게, 조용히",I low-key love watching cheesy dramas.
ghost someone #291,연락을 끊고 잠수 타다,He totally ghosted me after our second date.
cap #292,거짓말,He said he met Beyoncé. That’s cap.
throw shade #293,"빈정거리다, 몰래 디스하다",She was throwing shade at her coworker all day.
no cap #294,"진짜로, 거짓 없이","That movie was amazing, no cap."
spill the tea #295,소문을 퍼뜨리다,She spilled the tea about her ex-boyfriend.
on fleek #296,"아주 멋진, 완벽한",Her makeup is on fleek today.
ghost someone #297,연락을 끊고 잠수 타다,He totally ghosted me after our second date.
high-key #298,"대놓고, 확실하게",I'm high-key excited for the trip.
on fleek #299,"아주 멋진, 완벽한",Her makeup is on fleek today.
on fleek #300,"아주 멋진, 완벽한",Her makeup is on fleek today.
cap #301,거짓말,He said he met Beyoncé. That’s cap.
hit different #302,이전과 다르게 느껴지다,This song just hits different at night.
high-key #303,"대놓고, 확실하게",I'm high-key excited for the trip.
flex #304,과시하다,He likes to flex his new watch.
throw shade #305,"빈정거리다, 몰래 디스하다",She was throwing shade at her coworker all day.
ghost someone #306,연락을 끊고 잠수 타다,He totally ghosted me after our second date.
high-key #307,"대놓고, 확실하게",I'm high-key excited for the trip.
flex #308,과시하다,He likes to flex his new watch.
hit different #309,이전과 다르게 느껴지다,This song just hits different at night.
low-key #310,"비밀스럽게, 조용히",I low-key love watching cheesy dramas.
spill the tea #311,소문을 퍼뜨리다,She spilled the tea about her ex-boyfriend.
hit different #312,이전과 다르게 느껴지다,This song just hits different at night.
low-key #313,"비밀스럽게, 조용히",I low-key love watching cheesy dramas.
no cap #314,"진짜로, 거짓 없이","That movie was amazing, no cap."
hit different #315,이전과 다르게 느껴지다,This song just hits different at night.
ghost someone #316,연락을 끊고 잠수 타다,He totally ghosted me after our second date.
hit different #317,이전과 다르게 느껴지다,This song just hits different at night.
on fleek #318,"아주 멋진, 완벽한",Her makeup is on fleek today.
hit different #319,이전과 다르게 느껴지다,This song just hits different at night.
high-key #320,"대놓고, 확실하게",I'm high-key excited for the trip.
throw shade #321,"빈정거리다, 몰래 디스하다",She was throwing shade at her coworker all day.
cap #322,거짓말,He said he met Beyoncé. That’s cap.
flex #323,과시하다,He likes to flex his new watch.
hit different #324,이전과 다르게 느껴지다,This song just hits different at night.
no cap #325,"진짜로, 거짓 없이","That movie was amazing, no cap."
spill the tea #326,소문을 퍼뜨리다,She spilled the tea about her ex-boyfriend.
ghost someone #327,연락을 끊고 잠수 타다,He totally ghosted me after our second date.
ghost someone #328,연락을 끊고 잠수 타다,He totally ghosted me after our second date.
hit different #329,이전과 다르게 느껴지다,This song just hits different at night.
spill the tea #330,소문을 퍼뜨리다,She spilled the tea about her ex-boyfriend.
low-key #331,"비밀스럽게, 조용히",I low-key love watching cheesy dramas.
on fleek #332,"아주 멋진, 완벽한",Her makeup is on fleek today.
on fleek #333,"아주 멋진, 완벽한",Her makeup is on fleek today.
high-key #334,"대놓고, 확실하게",I'm high-key excited for the trip.
ghost someone #335,연락을 끊고 잠수 타다,He totally ghosted me after our second date.
high-key #336,"대놓고, 확실하게",I'm high-key excited for the trip.
hit different #337,이전과 다르게 느껴지다,This song just hits different at night.
cap #338,거짓말,He said he met Beyoncé. That’s cap.
low-key #339,"비밀스럽게, 조용히",I low-key love watching cheesy dramas.
on fleek #340,"아주 멋진, 완벽한",Her makeup is on fleek today.
cap #341,거짓말,He said he met Beyoncé. That’s cap.
no cap #342,"진짜로, 거짓 없이","That movie was amazing, no cap."
flex #343,과시하다,He likes to flex his new watch.
flex #344,과시하다,He likes to flex his new watch.
low-key #345,"비밀스럽게, 조용히",I low-key love watching cheesy dramas.
spill the tea #346,소문을 퍼뜨리다,She spilled the tea about her ex-boyfriend.
hit different #347,이전과 다르게 느껴지다,This song just hits different at night.
ghost someone #348,연락을 끊고 잠수 타다,He totally ghosted me after our second date.
throw shade #349,"빈정거리다, 몰래 디스하다",She was throwing shade at her coworker all day.
flex #350,과시하다,He likes to flex his new watch.
no cap #351,"진짜로, 거짓 없이","That movie was amazing, no cap."
flex #352,과시하다,He likes to flex his new watch.
ghost someone #353,연락을 끊고 잠수 타다,He totally ghosted me after our second date.
no cap #354,"진짜로, 거짓 없이","That movie was amazing, no cap."
no cap #355,"진짜로, 거짓 없이","That movie was amazing, no cap."
high-key #356,"대놓고, 확실하게",I'm high-key excited for the trip.
on fleek #357,"아주 멋진, 완벽한",Her makeup is on fleek today.
low-key #358,"비밀스럽게, 조용히",I low-key love watching cheesy dramas.
cap #359,거짓말,He said he met Beyoncé. That’s cap.
throw shade #360,"빈정거리다, 몰래 디스하다",She was throwing shade at her coworker all day.
spill the tea #361,소문을 퍼뜨리다,She spilled the tea about her ex-boyfriend.
spill the tea #362,소문을 퍼뜨리다,She spilled the tea about her ex-boyfriend.
high-key #363,"대놓고, 확실하게",I'm high-key excited for the trip.
no cap #364,"진짜로, 거짓 없이","That movie was amazing, no cap."
ghost someone #365,연락을 끊고 잠수 타다,He totally ghosted me after our second date.
low-key #366,"비밀스럽게, 조용히",I low-key love watching cheesy dramas.
cap #367,거짓말,He said he met Beyoncé. That’s cap.
throw shade #368,"빈정거리다, 몰래 디스하다",She was throwing shade at her coworker all day.
low-key #369,"비밀스럽게, 조용히",I low-key love watching cheesy dramas.
ghost someone #370,연락을 끊고 잠수 타다,He totally ghosted me after our second date.
cap #371,거짓말,He said he met Beyoncé. That’s cap.
flex #372,과시하다,He likes to flex his new watch.
ghost someone #373,연락을 끊고 잠수 타다,He totally ghosted me after our second date.
low-key #374,"비밀스럽게, 조용히",I low-key love watching cheesy dramas.
ghost someone #375,연락을 끊고 잠수 타다,He totally ghosted me after our second date.
flex #376,과시하다,He likes to flex his new watch.
low-key #377,"비밀스럽게, 조용히",I low-key love watching cheesy dramas.
no cap #378,"진짜로, 거짓 없이","That movie was amazing, no cap."
hit different #379,이전과 다르게 느껴지다,This song just hits different at night.
low-key #380,"비밀스럽게, 조용히",I low-key love watching cheesy dramas.
no cap #381,"진짜로, 거짓 없이","That movie was amazing, no cap."
spill the tea #382,소문을 퍼뜨리다,She spilled the tea about her ex-boyfriend.
hit different #383,이전과 다르게 느껴지다,This song just hits different at night.
hit different #384,이전과 다르게 느껴지다,This song just hits different at night.
low-key #385,"비밀스럽게, 조용히",I low-key love watching cheesy dramas.
high-key #386,"대놓고, 확실하게",I'm high-key excited for the trip.
no cap #387,"진짜로, 거짓 없이","That movie was amazing, no cap."
on fleek #388,"아주 멋진, 완벽한",Her makeup is on fleek today.
low-key #389,"비밀스럽게, 조용히",I low-key love watching cheesy dramas.
cap #390,거짓말,He said he met Beyoncé. That’s cap.
no cap #391,"진짜로, 거짓 없이","That movie was amazing, no cap."
cap #392,거짓말,He said he met Beyoncé. That’s cap.
throw shade #393,"빈정거리다, 몰래 디스하다",She was throwing shade at her coworker all day.
no cap #394,"진짜로, 거짓 없이","That movie was amazing, no cap."
cap #395,거짓말,He said he met Beyoncé. That’s cap.
ghost someone #396,연락을 끊고 잠수 타다,He totally ghosted me after our second date.
on fleek #397,"아주 멋진, 완벽한",Her makeup is on fleek today.
hit different #398,이전과 다르게 느껴지다,This song just hits different at night.
cap #399,거짓말,He said he met Beyoncé. That’s cap.
low-key #400,"비밀스럽게, 조용히",I low-key love watching cheesy dramas.
no cap #401,"진짜로, 거짓 없이","That movie was amazing, no cap."
no cap #402,"진짜로, 거짓 없이","That movie was amazing, no cap."
high-key #403,"대놓고, 확실하게",I'm high-key excited for the trip.
flex #404,과시하다,He likes to flex his new watch.
cap #405,거짓말,He said he met Beyoncé. That’s cap.
hit different #406,이전과 다르게 느껴지다,This song just hits different at night.
low-key #407,"비밀스럽게, 조용히",I low-key love watching cheesy dramas.
on fleek #408,"아주 멋진, 완벽한",Her makeup is on fleek today.
on fleek #409,"아주 멋진, 완벽한",Her makeup is on fleek today.
ghost someone #410,연락을 끊고 잠수 타다,He totally ghosted me after our second date.
low-key #411,"비밀스럽게, 조용히",I low-key love watching cheesy dramas.
low-key #412,"비밀스럽게, 조용히",I low-key love watching cheesy dramas.
flex #413,과시하다,He likes to flex his new watch.
spill the tea #414,소문을 퍼뜨리다,She spilled the tea about her ex-boyfriend.
low-key #415,"비밀스럽게, 조용히",I low-key love watching cheesy dramas.
ghost someone #416,연락을 끊고 잠수 타다,He totally ghosted me after our second date.
flex #417,과시하다,He likes to flex his new watch.
cap #418,거짓말,He said he met Beyoncé. That’s cap.
on fleek #419,"아주 멋진, 완벽한",Her makeup is on fleek today.
high-key #420,"대놓고, 확실하게",I'm high-key excited for the trip.
cap #421,거짓말,He said he met Beyoncé. That’s cap.
throw shade #422,"빈정거리다, 몰래 디스하다",She was throwing shade at her coworker all day.
throw shade #423,"빈정거리다, 몰래 디스하다",She was throwing shade at her coworker all day.
